,recordType,title,shorttitle,author,year,volume,pages,publisher,issn,abstract,file,journal,number,booktitle,editor,isbn
acemogluColonialOriginsComparative2001b,article,{The {{Colonial Origins}} of {{Comparative Development}}: {{An Empirical Investigation}}},{The {{Colonial Origins}} of {{Comparative Development}}},"{Acemoglu, Daron and Johnson, Simon and Robinson, James A.}",{2001},{91},{1369--1401},{{American Economic Association}},{0002-8282},"{We exploit differences in European mortality rates to estimate the effect of institutions on economic performance. Europeans adopted very different colonization policies in different colonies, with different associated institutions. In places where Europeans faced high mortality rates, they could not settle and were more likely to set up extractive institutions. These institutions persisted to the present. Exploiting differences in European mortality rates as an instrument for current institutions, we estimate large effects of institutions on income per capita. Once the effect of institutions is controlled for, countries in Africa or those closer to the equator do not have lower incomes.}",{/Users/ronaldmalis/Documents/Zotero Books/AcemogluD et al/Acemoglu et al_2001_The Colonial Origins of Comparative Development.pdf},{The American Economic Review},{5},,,
alfaniFamine1590sNorthern2011,article,{The {{Famine}} of the 1590s in {{Northern Italy}}. {{An Analysis}} of the {{Greatest}} \guillemotleft{} {{System Shock}} \guillemotright{} of {{Sixteenth Century}}},,"{Alfani, Guido}",{2011},{26},{17--49},{{EHESS}},{0982-1783},"{This article analyzes the extremely severe famine of the 1590s in northern Italy, triggered by several consecutive years of bad weather at a time of particularly acute population pressure on the available resources. Their failure fuelled a general \guillemotleft{} system shock \guillemotright{} for the social, economic and demographic structures of Northern Italy, leading to protest, violence and general social and economic disorder. The article recurs to a large database of demographic time series to identify the areas struck worst by the famine. It then focuses on the region Emilia-Romagna, and lastly provides a case study of the rural town of Nonantola, for which rare data about age at death during the famine are used. The article suggests that the 1590s famine was not solely the result of the combination of climate, agrarian technology and demographic density, but was a complex \guillemotleft{} human failure \guillemotright{} than can be fully understood only by taking into account also institutions, culture, social and economic behaviour, and even psychological factors. Cet article analyse la grande famine qui s'abattit sur l'Italie du Nord dans les ann\'ees 1590, \`a la suite de plusieurs ann\'ees de mauvaises conditions climatiques, survenues dans un contexte de forte pression d\'emographique. Cet \'episode provoqua une \guillemotleft{} crise syst\'emique \guillemotright{} qui d\'estabilisa l'ensemble des structures sociales, \'economiques et d\'emographiques de l'Italie du Nord et donna naissance \`a un ensemble de d\'esordres \'economiques et sociaux. Par l'analyse de s\'eries d\'emographiques, appliqu\'ees notamment au cas de l'\'Emilie-Romagne et de la communaut\'e rurale de Nonantola, l'article montre que la famine des ann\'ees 1590 ne r\'esulta pas seulement de la conjonction de facteurs climatiques, techniques et d\'emographiques particuliers, mais qu'elle fut aussi la cons\'equence d'une faillite humaine complexe, qu'on ne peu comprendre que si l'on prend en compte les institutions, les comportements sociaux et \'economiques ainsi que les facteurs culturels et psychologiques.}",{/Users/ronaldmalis/Documents/Zotero Books/AlfaniG/2011/Alfani_2011_The Famine of the 1590s in Northern Italy.pdf},{Histoire \& Mesure},{1},,,
alfaniPlagueSeventeenthcenturyEurope2013,article,{Plague in seventeenth-century {{Europe}} and the decline of {{Italy}}: an epidemiological hypothesis},{Plague in seventeenth-century {{Europe}} and the decline of {{Italy}}},"{ALFANI, GUIDO}",{2013},{17},{408--430},{{Oxford University Press}},{1361-4916},"{This article compares the impact of plague across Europe during the seventeenth century. It shows that the disease affected southern Europe much more severely than the north. Italy was by far the area worst struck. Using a new database, the article introduces an epidemiological variable that has not been considered in the literature: territorial pervasiveness of the contagion. This variable is much more relevant than local mortality rates in accounting for the different regional impact of plague. Epidemics, and not economic hardship, generated a severe demographic crisis in Italy during the seventeenth century. Plague caused a shock to the economy of the Italian peninsula that might have been key in starting its relative decline compared with the emerging northern European countries.}",{/Users/ronaldmalis/Documents/Zotero Books/ALFANIG/2013/ALFANI_2013_Plague in seventeenth-century Europe and the decline of Italy.pdf},{European Review of Economic History},{4},,,
allenEconomicStructureAgricultural2000,article,"{Economic structure and agricultural productivity in {{Europe}}, 1300-1800}",,"{ALLEN, ROBERT C.}",{2000},{4},{1--26},{{Oxford University Press}},{1361-4916},"{Estimates of employment structure, agricultural output, and agricultural labour productivity are developed for the leading European countries from 1300 to 1800. The employment estimates are developed from estimates of the total, urban, and rural populations. The output estimates are derived by positing a demand curve for agricultural goods.}","{/Users/ronaldmalis/Documents/Zotero Books/ALLENR/2000/ALLEN_2000_Economic structure and agricultural productivity in Europe, 1300-1800.pdf}",{European Review of Economic History},{1},,,
allenGreatDivergenceEuropean2001,article,{The {{Great Divergence}} in {{European Wages}} and {{Prices}} from the {{Middle Ages}} to the {{First World War}}},,"{Allen, Robert C}",{2001},{38},{411--447},,{0014-4983},{This paper traces the history of prices and wages in European cities from the fourteenth century to the First World War. It is shown that the divergence in real incomes observed in the mid-nineteenth century was produced between 1500 and 1750 as incomes fell in most European cities but were maintained (not increased) in the economic leaders.},{/Users/ronaldmalis/Documents/Zotero Books/AllenR/2001/Allen_2001_The Great Divergence in European Wages and Prices from the Middle Ages to the.pdf},{Explorations in Economic History},{4},,,
allenIndustrialRevolutionMiniature2009,article,"{The {{Industrial Revolution}} in {{Miniature}}: {{The Spinning Jenny}} in {{Britain}}, {{France}}, and {{India}}}",{The {{Industrial Revolution}} in {{Miniature}}},"{Allen, Robert C.}",{2009},{69},{901--927},"{{[Economic History Association, Cambridge University Press]}}",{0022-0507},"{The spinning jenny helps explain why the Industrial Revolution occurred in Britain rather than in France or India. Wages were exceptionally high relative to capital prices in Britain, so the jenny was profitable to use in Britain but not elsewhere. Since it was only profitable to use the jenny in Britain, that was the only country where it as worth incurring the costs of developing it. Irrespective of the quality of their institutions or the progressiveness of their cultures, neither the French nor the Indians would have found it profitable to mechanize cotton production in the eighteenth century.}",{/Users/ronaldmalis/Documents/Zotero Books/AllenR/2009/Allen_2009_The Industrial Revolution in Miniature.pdf},{The Journal of Economic History},{4},,,
allenProgressPovertyEarly2003,article,{Progress and {{Poverty}} in {{Early Modern Europe}}},,"{Allen, Robert C.}",{2003},{56},{403--443},"{{[Economic History Society, Wiley]}}",{0013-0117},"{An econometric model of economic development is estimated with data from leading European countries between 1300 and 1800. The model explores the impact of population, enclosure, empire, representative government, technology, and literacy on urbanization, agricultural productivity, proto-industry, and the real wage. Simulations show that the main factors leading to economic success in north-western Europe were the growth of American and Asian commerce and, especially, the innovations underlying the export of the new draperies in the sixteenth and seventeenth centuries. The enclosure of the open fields, representative government, and the spread of literacy did not play major roles.}",{/Users/ronaldmalis/Documents/Zotero Books/AllenR/2003/Allen_2003_Progress and Poverty in Early Modern Europe.pdf},{The Economic History Review},{3},,,
allenTrackingAgriculturalRevolution1999,article,{Tracking the {{Agricultural Revolution}} in {{England}}},,"{Allen, Robert C.}",{1999},{52},{209--235},"{{[Economic History Society, Wiley]}}",{0013-0117},"{The timing of the English agricultural revolution is investigated using three indicators: output growth implied by a demand curve, crop yields calculated from probate inventories, and productivity as indicated by real rents. All three indicators imply that the agricultural revolution took place between 1600 and 1750 rather than between 1750 and 1800. These findings contradict the classic interpretation, which assigns the agricultural revolution to the period of parliamentary enclosures in the second half of the eighteenth century, and, instead, support the view that small-scale, open field farmers were responsible for rising output and productivity from 1600 to 1750.}",{/Users/ronaldmalis/Documents/Zotero Books/AllenR/1999/Allen_1999_Tracking the Agricultural Revolution in England.pdf},{The Economic History Review},{2},,,
allenWagesPricesLiving2011a,article,"{Wages, prices, and living standards in {{China}}, 1738\textendash 1925: in comparison with {{Europe}}, {{Japan}}, and {{India}}}","{Wages, prices, and living standards in {{China}}, 1738\textendash 1925}","{ALLEN, ROBERT C. and BASSINO, JEAN-PASCAL and MA, DEBIN and {MOLL-MURATA}, CHRISTINE and VAN ZANDEN, JAN LUITEN}",{2011},{64},{8--38},{{Wiley}},{0013-0117},"{This article develops data on the history of wages and prices in Beijing, Canton, and Suzhou/Shanghai in China from the eighteenth century to the twentieth, and compares them with leading cities in Europe, Japan, and India in terms of nominal wages, the cost of living, and the standard of living. In the eighteenth century, the real income of building workers in Asia was similar to that of workers in the backward parts of Europe but far behind that in the leading economies in north-western Europe. Real wages stagnated in China in the eighteenth and early nineteenth centuries and rose slowly in the late nineteenth and early twentieth, with little cumulative change for 200 years. The income disparities of the early twentieth century were due to long-run stagnation in China combined with industrialization in Japan and Europe.}","{/Users/ronaldmalis/Documents/Zotero Books/ALLENR et al/2011/ALLEN et al_2011_Wages, prices, and living standards in China, 1738–12.pdf}",{The Economic History Review},{S1},,,
broadberryEarlyModernGreat2006,article,"{The {{Early Modern Great Divergence}}: {{Wages}}, {{Prices}} and {{Economic Development}} in {{Europe}} and {{Asia}}, 1500-1800}",{The {{Early Modern Great Divergence}}},"{Broadberry, Stephen and Gupta, Bishnupriya}",{2006},{59},{2--31},"{{[Economic History Society, Wiley]}}",{0013-0117},"{Contrary to the claims of Pomeranz, Parthasarathi, and other 'world historians', the prosperous parts of Asia between 1500 and 1800 look similar to the stagnating southern, central, and eastern parts of Europe rather than the developing north-western parts. In the advanced parts of India and China, grain wages were comparable to those in north-western Europe, but silver wages, which conferred purchasing power over tradable goods and services, were substantially lower. The high silver wages of north-western Europe were not simply a monetary phenomenon, but reflected high productivity in the tradable sector. The 'great divergence' between Europe and Asia was already well underway before 1800.}",{/Users/ronaldmalis/Documents/Zotero Books/BroadberryS_GuptaB/2006/Broadberry_Gupta_2006_The Early Modern Great Divergence.pdf},{The Economic History Review},{1},,,
